branch,sub_branch,region,entity_category,year,entity,entity_inception_year,event_type,target,round_or_event,amount_usd,role,notes,source_url
"investing in AI","Wall Street","US","category",1960,"Public equities",1960,"category_inception","","Category node","","","Listed companies whose shares became the clearest public-market AI exposure.",""
"investing in AI","Wall Street","US","category",1960,"AI ETFs",1960,"category_inception","","Category node","","","Exchange-traded funds offering packaged AI or robotics exposure.",""
"investing in AI","Wall Street","US","category",1960,"Analyst houses",1960,"category_inception","","Category node","","","Banks, brokers, and research houses shaping institutional AI narratives.",""
"investing in AI","Wall Street","US","category",1960,"Theme trades",1960,"category_inception","","Category node","","","Abstract public-market baskets created by the AI boom: chips, power, cooling, data centers.",""
"investing in AI","Wall Street","US","public_equity",1969,"Advanced Micro Devices",1969,"entity_inception","","Company founded","","","Semiconductor peer and secondary beneficiary of AI accelerator demand.","https://www.amd.com/"
"investing in AI","Wall Street","US","public_equity",1993,"NVIDIA",1993,"entity_inception","","Company founded","","","The bellwether public equity of the generative AI cycle.","https://www.nvidia.com/"
"investing in AI","Wall Street","US","public_equity",1993,"Super Micro Computer",1993,"entity_inception","","Company founded","","","Server maker tied to AI cluster build-outs.","https://www.supermicro.com/"
"investing in AI","Wall Street","US","public_equity",2003,"Palantir",2003,"entity_inception","","Company founded","","","Public software name increasingly framed as an AI deployment and government AI play.","https://www.palantir.com/"
"investing in AI","Wall Street","US","public_equity",2009,"CoreWeave",2009,"entity_inception","","Company founded","","","Cloud infrastructure company that became a public-market AI infrastructure proxy.","https://www.coreweave.com/"
"investing in AI","Wall Street","US","ai_etf",2013,"ROBO Global Robotics and Automation Index ETF",2013,"entity_inception","","ETF launched","","","One of the earlier listed robotics and automation funds later pulled into the AI basket.","https://www.robo.global/robo-global-robotics-and-automation-index-etf/"
"investing in AI","Wall Street","US","ai_etf",2016,"Global X Robotics and Artificial Intelligence ETF (BOTZ)",2016,"entity_inception","","ETF launched","","","Widely used listed vehicle for robotics and AI exposure.","https://www.globalxetfs.com/funds/botz/"
"investing in AI","Wall Street","US","ai_etf",2018,"Global X Artificial Intelligence and Technology ETF (AIQ)",2018,"entity_inception","","ETF launched","","","Broad thematic AI ETF with global AI and big-data exposure.","https://www.globalxetfs.com/funds/aiq"
"investing in AI","Wall Street","US","ai_etf",2023,"Roundhill Generative AI and Technology ETF (CHAT)",2023,"entity_inception","","ETF launched","","","First U.S. ETF explicitly centered on generative AI.","https://www.prnewswire.com/news-releases/roundhill-investments-launches-generative-ai--technology-etf-nyse-arca-chat-301828049.html"
"investing in AI","Wall Street","US","ai_etf",2024,"iShares A.I. Innovation and Tech Active ETF (BAI)",2024,"entity_inception","","ETF launched","","","BlackRock active ETF built specifically around AI and tech concentration.","https://www.ishares.com/us/products/339081/ishares-ai-innovation-and-tech-active-etf"
"investing in AI","Wall Street","US","analyst_house",1869,"Goldman Sachs",1869,"entity_inception","","Firm founded","","","Research franchise that helped popularize the AI-power and data-center trade.","https://www.goldmansachs.com/"
"investing in AI","Wall Street","US","analyst_house",1935,"Morgan Stanley",1935,"entity_inception","","Firm founded","","","Major sell-side voice on AI beneficiaries across semis, cloud, and software.","https://www.morganstanley.com/"
"investing in AI","Wall Street","US","analyst_house",1871,"JPMorgan",1871,"entity_inception","","Firm founded","","","Bulge-bracket bank producing high-visibility AI strategy and market commentary.","https://www.jpmorgan.com/"
"investing in AI","Wall Street","US","theme_trade",1960,"AI infrastructure trade",1960,"entity_inception","","Theme emerged","","","The basket anchored by chips, servers, networking, and hyperscaler capex.",""
"investing in AI","Wall Street","US","theme_trade",1960,"Data center power trade",1960,"entity_inception","","Theme emerged","","","The AI-driven thesis around utilities, generation, and grid investment.",""
"investing in AI","Wall Street","US","theme_trade",1960,"Cooling and thermal management trade",1960,"entity_inception","","Theme emerged","","","The basket around power density, cooling, and physical AI infrastructure.",""
"investing in AI","Wall Street","US","public_equity",2024,"NVIDIA",1993,"market_milestone","NVIDIA stock","Market cap milestone","2000000000000","beneficiary","Reuters reported NVIDIA added more than $2T in market value in 2024 on the AI rally.","https://www.tradingview.com/news/reuters.com%2C2025%3Anewsml_L4N3NY0A4%3A0-nvidia-s-market-value-gets-2-trillion-boost-in-2024-on-ai-rally/"
"investing in AI","Wall Street","US","public_equity",2024,"NVIDIA",1993,"market_milestone","NVIDIA stock","$3T market cap","","beneficiary","NVIDIA crossed a $3T market cap during the AI boom.","https://www.cnbc.com/2024/06/05/nvidia-briefly-passes-3-trillion-market-cap-on-back-of-ai-boom.html"
"investing in AI","Wall Street","US","analyst_house",2024,"Goldman Sachs",1869,"research_call","Data center power demand","Forecast","","analyst","Goldman Sachs Research said data-center power demand could grow 160% by the end of the decade because of AI.","https://www.goldmansachs.com/insights/goldman-sachs-research/gs-sustain-generational-growth-ai-data-centers-global-power"
"investing in AI","Wall Street","US","ai_etf",2023,"Roundhill Generative AI and Technology ETF (CHAT)",2023,"market_launch","Generative AI ETF","NYSE Arca launch","","issuer","Roundhill launched the first U.S. ETF explicitly focused on generative AI.","https://www.prnewswire.com/news-releases/roundhill-investments-launches-generative-ai--technology-etf-nyse-arca-chat-301828049.html"
"investing in AI","Wall Street","US","ai_etf",2024,"iShares A.I. Innovation and Tech Active ETF (BAI)",2024,"market_launch","AI ETF","NYSE Arca launch","","issuer","BlackRock launched BAI in October 2024.","https://www.ishares.com/us/products/339081/ishares-ai-innovation-and-tech-active-etf"
