branch,sub_branch,region,entity_category,year,entity,entity_inception_year,event_type,target,round_or_event,amount_usd,role,notes,source_url
"fueling AI","water","France","cooling_infrastructure",1836,"Schneider Electric",1836,"entity_inception","","Company founded","","","Major supplier of AI-data-center power, thermal, and liquid-cooling systems.","https://www.se.com/"
"fueling AI","water","US","water_technology",1965,"Xylem",1965,"entity_inception","","Company founded","","","Water technology company relevant to treatment, reuse, and industrial cooling loops.","https://www.xylem.com/"
"fueling AI","water","Sweden","cooling_infrastructure",1955,"Munters",1955,"entity_inception","","Company founded","","","Thermal management and air-treatment supplier relevant to data-center cooling efficiency.","https://www.munters.com/"
"fueling AI","water","US","cooling_infrastructure",2000,"Vertiv",2000,"entity_inception","","Company founded","","","Critical digital infrastructure supplier now strongly associated with AI liquid cooling.","https://www.vertiv.com/"
"fueling AI","water","US","cooling_infrastructure",2008,"LiquidStack",2008,"entity_inception","","Company founded","","","Immersion and liquid-cooling specialist for high-density AI compute.","https://liquidstack.com/"
"fueling AI","water","Canada","cooling_infrastructure",2010,"CoolIT Systems",2010,"entity_inception","","Company founded","","","Direct liquid-cooling company with major exposure to AI rack density growth.","https://www.coolitsystems.com/"
"fueling AI","water","US","cooling_infrastructure",1988,"Motivair",1988,"entity_inception","","Company founded","","","Thermal-management specialist acquired by Schneider to deepen AI cooling capabilities.","https://www.motivaircorp.com/"
"fueling AI","water","US","cooling_infrastructure",1938,"Baltimore Aircoil Company",1938,"entity_inception","","Company founded","","","Cooling-tower and thermal-rejection infrastructure supplier relevant to data-center water use.","https://www.baltimoreaircoil.com/"
"fueling AI","water","Sweden","cooling_infrastructure",2015,"Submer",2015,"entity_inception","","Company founded","","","Immersion-cooling company focused on high-density AI and HPC environments.","https://submer.com/"
"fueling AI","water","Ireland","cooling_infrastructure",2018,"Iceotope",2018,"entity_inception","","Company founded","","","Precision liquid-cooling company used in edge and enterprise high-density compute environments.","https://www.iceotope.com/"
