branch,sub_branch,region,entity_category,year,entity,entity_inception_year,event_type,target,round_or_event,amount_usd,role,notes,source_url
"fueling AI","energy","US","utility_or_power",1882,"Edison Electric Institute",1882,"entity_inception","","Association founded","","","Power-sector trade group frequently cited in AI load-growth and grid planning discussions.","https://www.eei.org/"
"fueling AI","energy","US","utility_or_power",1886,"Constellation Energy",1886,"entity_inception","","Company founded","","","Major U.S. nuclear operator and one of the clearest beneficiaries of AI data-center demand.","https://www.constellationenergy.com/"
"fueling AI","energy","US","utility_or_power",1981,"AES",1981,"entity_inception","","Company founded","","","Large independent power producer now positioning around AI-data-center electricity supply.","https://www.aes.com/"
"fueling AI","energy","US","utility_or_power",1981,"Vistra",1981,"entity_inception","","Company founded","","","Power producer with growing relevance to the AI-driven nuclear and dispatchable-power trade.","https://www.vistracorp.com/"
"fueling AI","energy","US","utility_or_power",1983,"NextEra Energy",1983,"entity_inception","","Company founded","","","Leading renewable developer with direct relevance to solar-backed AI campus power supply.","https://www.nexteraenergy.com/"
"fueling AI","energy","US","utility_or_power",2007,"Invenergy",2007,"entity_inception","","Company founded","","","Large private renewable and gas developer relevant to AI campus power procurement.","https://invenergy.com/"
"fueling AI","energy","US","energy_technology",2024,"GE Vernova",2024,"entity_inception","","Company founded","","","Turbine and grid equipment company deeply exposed to AI-driven power buildout.","https://www.gevernova.com/"
"fueling AI","energy","US","energy_technology",2001,"Bloom Energy",2001,"entity_inception","","Company founded","","","Fuel-cell and on-site power company increasingly tied to AI-data-center backup and primary power.","https://www.bloomenergy.com/"
"fueling AI","energy","US","advanced_nuclear",2006,"TerraPower",2006,"entity_inception","","Company founded","","","Bill Gates-backed advanced nuclear company repeatedly discussed in the AI-power context.","https://www.terrapower.com/"
"fueling AI","energy","US","advanced_nuclear",2013,"Oklo",2013,"entity_inception","","Company founded","","","Small-reactor company emblematic of the AI-meets-nuclear revival story.","https://oklo.com/"
"fueling AI","energy","US","advanced_nuclear",2016,"Kairos Power",2016,"entity_inception","","Company founded","","","Advanced reactor company relevant to long-run AI load growth and clean firm power.","https://kairospower.com/"
"fueling AI","energy","US","advanced_nuclear",2009,"X-energy",2009,"entity_inception","","Company founded","","","Advanced reactor developer often grouped into the AI-era nuclear supply conversation.","https://x-energy.com/"
"fueling AI","energy","Canada","renewables",1997,"Brookfield Renewable",1997,"entity_inception","","Company founded","","","Global renewable platform relevant to long-duration and renewable-backed AI power strategies.","https://bep.brookfield.com/"
