branch,sub_branch,region,entity_category,year,entity,entity_inception_year,event_type,target,round_or_event,amount_usd,role,notes,source_url
"resisting AI","labour & unions","US","institution",1933,"WGA",1933,"entity_inception","","Union founded","","","Writers union at the center of AI-related labor disputes in media.","https://www.wga.org/"
"resisting AI","labour & unions","US","institution",1933,"SAG-AFTRA",1933,"entity_inception","","Union founded","","","Performers union central to AI likeness, voice, and compensation disputes.","https://www.sagaftra.org/"
"resisting AI","artists & copyright","US","institution",1995,"Getty Images",1995,"entity_inception","","Company founded","","","One of the highest-profile companies challenging image-model training and output use.","https://www.gettyimages.com/"
"resisting AI","artists & copyright","US","institution",1912,"Authors Guild",1912,"entity_inception","","Guild founded","","","Authors' group involved in AI copyright and training-data resistance.","https://authorsguild.org/"
"resisting AI","religious & ethical voices","Europe","institution",1960,"Vatican",1960,"entity_inception","","Institution node","","","Major religious voice in debates about dignity, ethics, and AI governance.","https://www.vatican.va/"
"resisting AI","religious & ethical voices","Global","institution",2018,"AI and Faith",2018,"entity_inception","","Organization founded","","","Interfaith and ethics-focused network discussing AI from religious and moral perspectives.","https://aiandfaith.org/"
"resisting AI","academic critics","US","person",1983,"Timnit Gebru",1983,"entity_inception","","Person born","","","Leading academic and public critic of AI scale, labor, and power structures.","https://www.dair-institute.org/"
"resisting AI","academic critics","US","person",1970,"Gary Marcus",1970,"entity_inception","","Person born","","","Public critic of overclaiming around current AI systems and AGI narratives.","https://garymarcus.substack.com/"
"resisting AI","academic critics","US","person",1978,"Emily M. Bender",1978,"entity_inception","","Person born","","","Academic critic known for work on language, hype, and social harms of AI systems.","https://faculty.washington.edu/ebender/"
"resisting AI","pause & slowdown movements","US","institution",2014,"Future of Life Institute",2014,"entity_inception","","Institute founded","","","Organization behind the 2023 open letter calling for a pause on giant AI experiments.","https://futureoflife.org/"
"resisting AI","pause & slowdown movements","Europe","institution",2023,"PauseAI",2023,"entity_inception","","Movement founded","","","Activist movement explicitly campaigning to slow frontier AI development.","https://pauseai.info/"
"resisting AI","anti-surveillance","US","institution",1990,"Electronic Frontier Foundation",1990,"entity_inception","","Organization founded","","","Long-running digital rights organization opposing harmful biometric and surveillance AI uses.","https://www.eff.org/"
"resisting AI","anti-surveillance","US","institution",1920,"ACLU",1920,"entity_inception","","Organization founded","","","Civil liberties organization engaged in facial-recognition and surveillance litigation.","https://www.aclu.org/"
"resisting AI","environmental","Global","institution",1971,"Greenpeace",1971,"entity_inception","","Organization founded","","","Environmental campaign group increasingly vocal on AI energy and water costs.","https://www.greenpeace.org/"
"resisting AI","environmental","US","institution",1969,"Friends of the Earth",1969,"entity_inception","","Organization founded","","","Environmental organization active in broader digital-infrastructure and energy debates.","https://foe.org/"
