branch,sub_branch,region,entity_category,year,entity,entity_inception_year,event_type,target,round_or_event,amount_usd,role,notes,source_url
"using AI","software engineering","US","application",2021,"GitHub Copilot",2021,"entity_inception","","Product launched","","","Mass-market AI coding assistant transforming software development workflows.","https://github.com/features/copilot"
"using AI","software engineering","US","application",2022,"Cursor",2022,"entity_inception","","Company founded","","","AI-native IDE for software engineering.","https://www.cursor.com/"
"using AI","creative writing & journalism","US","application",2020,"Sudowrite",2020,"entity_inception","","Company founded","","","AI writing tool focused on creative writing and story development.","https://www.sudowrite.com/"
"using AI","creative writing & journalism","US","application",2022,"Perplexity",2022,"entity_inception","","Company founded","","","Frequently used in research-heavy journalism and writing workflows.","https://www.perplexity.ai/"
"using AI","visual art & design","US","application",2021,"Midjourney",2021,"entity_inception","","Company founded","","","One of the defining AI tools for visual ideation and image creation.","https://www.midjourney.com/"
"using AI","visual art & design","US","application",2023,"Adobe Firefly",2023,"entity_inception","","Product launched","","","Generative creative suite embedded into mainstream design workflows.","https://www.adobe.com/products/firefly.html"
"using AI","music & audio","US","application",2023,"Suno",2023,"entity_inception","","Company founded","","","Consumer music-generation platform.","https://suno.com/"
"using AI","music & audio","US","application",2023,"Udio",2023,"entity_inception","","Company founded","","","Music-generation startup used widely by creators and hobbyists.","https://www.udio.com/"
"using AI","music & audio","UK","application",2022,"ElevenLabs",2022,"entity_inception","","Company founded","","","Voice AI platform central to audio production and narration workflows.","https://elevenlabs.io/"
"using AI","film & video","US","application",2018,"Runway",2018,"entity_inception","","Company founded","","","AI-native video generation and editing platform.","https://runwayml.com/"
"using AI","film & video","US","application",2023,"Pika",2023,"entity_inception","","Company founded","","","Text-to-video and video editing startup for creators.","https://pika.art/"
"using AI","film & video","UK","application",2017,"Synthesia",2017,"entity_inception","","Company founded","","","AI avatar video platform used heavily in enterprise and training video.","https://www.synthesia.io/"
"using AI","medicine","US","application",2018,"Abridge",2018,"entity_inception","","Company founded","","","Ambient medical documentation and clinical AI system.","https://www.abridge.com/"
"using AI","medicine","UK","application",2021,"Isomorphic Labs",2021,"entity_inception","","Company founded","","","AI-driven drug discovery company spun out of DeepMind.","https://www.isomorphiclabs.com/"
"using AI","medicine","UK","application",2020,"AlphaFold",2020,"entity_inception","","System released","","","Protein-structure prediction system with major scientific and medical impact.","https://deepmind.google/science/alphafold/"
"using AI","mathematics","UK","application",2024,"AlphaGeometry",2024,"entity_inception","","System released","","","DeepMind system for geometry problem solving and mathematical reasoning.","https://deepmind.google/discover/blog/alphageometry-an-olympiad-level-ai-system-for-geometry/"
"using AI","mathematics","UK","application",2024,"AlphaProof",2024,"entity_inception","","System released","","","DeepMind theorem-proving system used in mathematical benchmark settings.","https://deepmind.google/discover/blog/ai-solves-imo-problems-at-silver-medal-level/"
"using AI","science","UK","application",2020,"AlphaFold",2020,"entity_inception","","System released","","","One of the clearest examples of AI transforming core scientific discovery.","https://deepmind.google/science/alphafold/"
