branch,sub_branch,region,entity_category,year,entity,entity_inception_year,event_type,target,round_or_event,amount_usd,role,notes,source_url
"investing in AI","sovereign wealth","UAE","sovereign_fund",2002,"Mubadala Investment Company",2002,"entity_inception","","Fund established","","","Abu Dhabi sovereign investor increasingly central to AI infrastructure and platform bets.","https://www.mubadala.com/"
"investing in AI","sovereign wealth","Saudi Arabia","sovereign_fund",1971,"Public Investment Fund",1971,"entity_inception","","Fund established","","","Saudi Arabia's sovereign wealth fund now treats AI as a strategic national industry.","https://www.pif.gov.sa/en/"
"investing in AI","sovereign wealth","Singapore","sovereign_fund",1974,"Temasek",1974,"entity_inception","","Fund established","","","Singapore state investor with growing explicit focus on AI value-chain assets.","https://www.temasek.com.sg/"
"investing in AI","sovereign wealth","Singapore","sovereign_fund",1981,"GIC",1981,"entity_inception","","Fund established","","","Singapore sovereign investor with broad global tech exposure and selective AI positioning.","https://www.gic.com.sg/"
"investing in AI","sovereign wealth","UAE","sovereign_fund",2024,"MGX",2024,"entity_inception","","Fund established","","","Purpose-built Abu Dhabi AI investment vehicle backed by Mubadala and G42.","https://www.microsoft.com/en-us/news/2024/09/17/blackrock-global-infrastructure-partners-microsoft-and-mgx-launch-new-ai-partnership-to-invest-in-data-centers-and-supporting-power-infrastructure/"
"investing in AI","sovereign wealth","Qatar","sovereign_fund",2005,"Qatar Investment Authority",2005,"entity_inception","","Fund established","","","Large Gulf sovereign allocator increasingly visible in global AI financing and infrastructure.","https://www.qia.qa/"
"investing in AI","sovereign wealth","UAE","sovereign_fund",2018,"G42",2018,"entity_inception","","Company founded","","","AI-centric Abu Dhabi technology holding group backed by Mubadala; sovereign-adjacent AI champion.","https://www.mubadala.com/en/what-we-do/g42"
"investing in AI","sovereign wealth","UAE","sovereign_fund",2023,"Mubadala Investment Company",2002,"strategic_build","M42","Launch","","co_builder","Mubadala and G42 combined health-tech and AI assets to launch M42.","https://www.mubadala.com/en/news/g42-and-mubadala-announce-the-launch-of-m42"
"investing in AI","sovereign wealth","UAE","sovereign_fund",2024,"Mubadala Investment Company",2002,"strategic_build","MGX","Co-founding","","co_founder","Mubadala's 2024 results highlighted MGX as a new national AI investment champion launched alongside G42.","https://www.mubadala.com/en/news/mubadala-investment-company-reports-2024-financial-results"
"investing in AI","sovereign wealth","UAE","sovereign_fund",2024,"MGX",2024,"strategic_partnership","Global AI Infrastructure Investment Partnership","Founding partnership","100000000000","partner","MGX joined BlackRock, GIP, and Microsoft in a partnership with up to $100B investment potential for AI data centers and power.","https://news.microsoft.com/source/2024/09/17/blackrock-global-infrastructure-partners-microsoft-and-mgx-launch-new-ai-partnership-to-invest-in-data-centers-and-supporting-power-infrastructure/"
"investing in AI","sovereign wealth","UAE","sovereign_fund",2025,"MGX",2024,"strategic_partnership","Stargate","Founding partner","500000000000","partner","MGX was named among the initial equity backers of Stargate, the U.S. AI infrastructure project.","https://www.theverge.com/2025/1/21/24348816/openai-softbank-ai-data-center-stargate-project"
"investing in AI","sovereign wealth","Saudi Arabia","sovereign_fund",2025,"Public Investment Fund",1971,"strategic_build","HUMAIN","Launch","","owner","PIF launched HUMAIN as a full-stack AI company to operate and invest across the AI value chain.","https://www.pif.gov.sa/en/news-and-insights/press-releases/2025/hrh-crown-prince-launches-humain-as-global-ai-powerhouse/?_bhlid=8975d7e9f7d2b5c40c2133b351af7c584a4b6148"
"investing in AI","sovereign wealth","Saudi Arabia","sovereign_fund",2025,"Public Investment Fund",1971,"strategic_transfer","HUMAIN","Asset consolidation","","owner","PIF transferred Saudi Company for Artificial Intelligence into HUMAIN to consolidate national AI assets.","https://www.pif.gov.sa/en/news-and-insights/press-releases/2025/pif-and-aramco-agree-for-aramco-to-acquire-a-significant-minority-stake-in-humain-with-pif-retaining-majority-ownership/"
"investing in AI","sovereign wealth","Saudi Arabia","sovereign_fund",2025,"HUMAIN",2025,"strategic_partnership","NVIDIA, Microsoft, AMD, Qualcomm, AWS, Google Cloud","Partnership wave","","platform_builder","PIF's HUMAIN rapidly signed partnerships across chips, cloud, and models to scale Saudi Arabia's AI stack.","https://www.pif.gov.sa/en/our-investments/our-portfolio/humain/"
"investing in AI","sovereign wealth","Singapore","sovereign_fund",2025,"Temasek",1974,"strategic_focus","AI value chain assets","Portfolio priority","","allocator","Temasek explicitly said it increased focus on investing into AI value-chain assets.","https://www.temasek.com.sg/en/news-and-resources/news-room/news/2025/temasek-net-portfolio-value-grows-to-record-high-of-434-billion"
"investing in AI","sovereign wealth","UAE","sovereign_fund",2025,"Mubadala Investment Company",2002,"strategic_focus","AI and advanced manufacturing","Annual results","","allocator","Mubadala's 2024 results highlighted significant investments in AI and a strategy aligned to future-focused sectors.","https://www.mubadala.com/en/news/mubadala-investment-company-reports-2024-financial-results"
"investing in AI","sovereign wealth","Saudi Arabia","sovereign_fund",2025,"Public Investment Fund",1971,"strategic_focus","AI-led domestic diversification","Annual report","","allocator","Reuters reported PIF saying AI is embedded across every layer of the organization and investment process.","https://www.tradingview.com/news/reuters.com%2C2025%3Anewsml_L1N3U50C2%3A0-saudi-arabia-s-sovereign-wealth-fund-says-ai-embedded-across-every-layer-of-organisation/"
