branch,sub_branch,region,entity_category,year,entity,entity_inception_year,event_type,target,round_or_event,amount_usd,role,notes,source_url
"fueling AI","annotation manpower","US","annotation_platform",2016,"Scale AI",2016,"entity_inception","","Company founded","","","The defining AI data-labeling and data-operations company of the current cycle.","https://scale.com/"
"fueling AI","annotation manpower","Australia","annotation_platform",1996,"Appen",1996,"entity_inception","","Company founded","","","Long-running global provider of data-labeling and language-data services.","https://appen.com/"
"fueling AI","annotation manpower","Kenya","annotation_platform",2008,"Sama",2008,"entity_inception","","Company founded","","","Well-known annotation and AI data company with major East African labor footprint.","https://www.sama.com/"
"fueling AI","annotation manpower","US","annotation_platform",2017,"Remotasks",2017,"entity_inception","","Platform launched","","","Crowd task platform strongly associated with distributed model-labeling work.","https://www.remotasks.com/"
"fueling AI","annotation manpower","US","annotation_platform",2020,"Surge AI",2020,"entity_inception","","Company founded","","","Fast-growing high-end data-labeling and RLHF-style data company.","https://www.surgehq.ai/"
"fueling AI","annotation manpower","US","annotation_platform",2018,"Labelbox",2018,"entity_inception","","Company founded","","","Annotation and training-data workflow platform used across ML teams.","https://labelbox.com/"
"fueling AI","annotation manpower","US","annotation_platform",2018,"SuperAnnotate",2018,"entity_inception","","Company founded","","","AI data platform focused on labeling, curation, and dataset management.","https://www.superannotate.com/"
"fueling AI","annotation manpower","India","annotation_platform",2018,"iMerit",2018,"entity_inception","","Company founded","","","Data-operations company with major role in human annotation and evaluation workflows.","https://imerit.net/"
"fueling AI","annotation manpower","UK","annotation_platform",2010,"CloudFactory",2010,"entity_inception","","Company founded","","","Distributed digital labor company used for annotation and data-processing tasks.","https://www.cloudfactory.com/"
"fueling AI","annotation manpower","Netherlands","annotation_platform",2017,"Toloka",2017,"entity_inception","","Platform launched","","","Crowdsourcing and AI data platform with broad labeling and evaluation capabilities.","https://toloka.ai/"
"fueling AI","annotation manpower","Portugal","annotation_platform",2015,"Defined.ai",2015,"entity_inception","","Company founded","","","AI data marketplace and annotation company focused on training datasets.","https://www.defined.ai/"
