branch,sub_branch,region,entity_category,year,entity,entity_inception_year,event_type,target,round_or_event,amount_usd,role,notes,source_url
"governing AI","national policy","US","institution",2023,"U.S. Executive Order on AI",2023,"entity_inception","","Policy issued","","","Flagship U.S. federal policy intervention on AI governance.","https://www.whitehouse.gov/briefing-room/presidential-actions/2023/10/30/executive-order-on-the-safe-secure-and-trustworthy-development-and-use-of-artificial-intelligence/"
"governing AI","national policy","China","institution",2023,"China generative AI regulations",2023,"entity_inception","","Regulations enacted","","","China's early regulatory framework for generative AI services.","https://www.cac.gov.cn/2023-07/13/c_1690898327029107.htm"
"governing AI","national policy","UK","institution",2023,"UK AI Safety Institute",2023,"entity_inception","","Institute launched","","","National body focused on frontier model testing and governance.","https://www.aisi.gov.uk/"
"governing AI","supranational","EU","institution",2024,"EU AI Act",2024,"entity_inception","","Law adopted","","","The most important cross-sector AI regulation enacted so far.","https://artificialintelligenceact.eu/"
"governing AI","supranational","Global","institution",2023,"UN AI Advisory Body",2023,"entity_inception","","Body created","","","UN process for international AI governance recommendations.","https://www.un.org/en/ai-advisory-body"
"governing AI","supranational","Europe","institution",2024,"Council of Europe AI Convention",2024,"entity_inception","","Convention adopted","","","International treaty framework on AI, human rights, democracy, and rule of law.","https://www.coe.int/en/web/artificial-intelligence/the-framework-convention-on-artificial-intelligence"
"governing AI","standards bodies","US","institution",1901,"NIST",1901,"entity_inception","","Agency founded","","","The most influential U.S. technical standards body for AI risk-management guidance.","https://www.nist.gov/"
"governing AI","standards bodies","Global","institution",1947,"ISO/IEC JTC 1/SC 42",1947,"entity_inception","","Standards body active","","","Key international standards committee for artificial intelligence.","https://www.iso.org/committee/6794475.html"
"governing AI","standards bodies","US","institution",1884,"IEEE Standards Association",1884,"entity_inception","","Standards body active","","","Important standards-setting venue touching AI ethics and systems guidance.","https://standards.ieee.org/"
"governing AI","policy think tanks","US","institution",2019,"CSET",2019,"entity_inception","","Center launched","","","Center for Security and Emerging Technology, a major AI policy research shop.","https://cset.georgetown.edu/"
"governing AI","policy think tanks","UK","institution",2018,"Governance of AI",2018,"entity_inception","","Organization founded","","","Leading think tank focused on AI governance strategy and policy.","https://www.governance.ai/"
"governing AI","policy think tanks","US","institution",2022,"Center for AI Safety",2022,"entity_inception","","Organization founded","","","Research and advocacy organization influencing AI-risk governance discourse.","https://www.safe.ai/"
"governing AI","international coordination","UK","institution",2023,"AI Safety Summit",2023,"entity_inception","","Summit launched","","","Intergovernmental summit process centered on frontier AI risks.","https://www.gov.uk/government/topical-events/ai-safety-summit-2023"
"governing AI","international coordination","UK","institution",2023,"Bletchley Declaration",2023,"entity_inception","","Declaration signed","","","Shared international statement on frontier-AI safety risks.","https://www.gov.uk/government/publications/ai-safety-summit-2023-the-bletchley-declaration"
"governing AI","international coordination","Japan","institution",2023,"G7 Hiroshima AI Process",2023,"entity_inception","","Process launched","","","G7 coordination effort on generative AI governance and code of conduct.","https://www.mofa.go.jp/ecm/ec/pagew_000001_00018.html"
"governing AI","corporate governance","US","institution",2018,"Microsoft Responsible AI",2018,"entity_inception","","Program active","","","Internal governance and policy structure for responsible AI deployment.","https://www.microsoft.com/ai/responsible-ai"
"governing AI","corporate governance","US","institution",2023,"OpenAI Preparedness",2023,"entity_inception","","Program launched","","","OpenAI's internal capability-risk and preparedness governance function.","https://openai.com/index/preparedness/"
"governing AI","corporate governance","US","institution",2024,"Anthropic Responsible Scaling Policy",2024,"entity_inception","","Policy framework active","","","Anthropic's governance framework for escalating model capability and safety controls.","https://www.anthropic.com/news/responsible-scaling-policy"
