branch,sub_branch,region,entity_category,year,entity,entity_inception_year,event_type,target,round_or_event,amount_usd,role,notes,source_url
"fueling AI","rare earth & supply chain","Taiwan","supply_chain_company",1987,"TSMC",1987,"entity_inception","","Company founded","","","The central advanced-node foundry in the AI hardware supply chain.","https://www.tsmc.com/"
"fueling AI","rare earth & supply chain","Netherlands","supply_chain_company",1984,"ASML",1984,"entity_inception","","Company founded","","","EUV lithography monopoly supplier and one of the most strategic firms in AI hardware production.","https://www.asml.com/"
"fueling AI","rare earth & supply chain","US","supply_chain_company",1967,"Applied Materials",1967,"entity_inception","","Company founded","","","Critical semiconductor equipment supplier exposed to AI fab expansion.","https://www.appliedmaterials.com/"
"fueling AI","rare earth & supply chain","US","supply_chain_company",1980,"Lam Research",1980,"entity_inception","","Company founded","","","Major etch and deposition equipment supplier for advanced chipmaking.","https://www.lamresearch.com/"
"fueling AI","rare earth & supply chain","Japan","supply_chain_company",1963,"Tokyo Electron",1963,"entity_inception","","Company founded","","","Leading Japanese semiconductor equipment company heavily exposed to AI capacity growth.","https://www.tel.com/"
"fueling AI","rare earth & supply chain","US","supply_chain_company",1975,"KLA",1975,"entity_inception","","Company founded","","","Inspection and process-control equipment provider crucial to advanced chip yields.","https://www.kla.com/"
"fueling AI","rare earth & supply chain","US","supply_chain_company",1986,"Synopsys",1986,"entity_inception","","Company founded","","","Electronic design automation leader essential to AI chip design workflows.","https://www.synopsys.com/"
"fueling AI","rare earth & supply chain","US","supply_chain_company",1988,"Cadence",1988,"entity_inception","","Company founded","","","EDA company central to advanced chip and packaging design.","https://www.cadence.com/"
"fueling AI","rare earth & supply chain","South Korea","memory_supplier",1949,"Samsung Electronics",1949,"entity_inception","","Company founded","","","Major memory and advanced packaging supplier in the AI stack.","https://www.samsung.com/"
"fueling AI","rare earth & supply chain","South Korea","memory_supplier",1983,"SK hynix",1983,"entity_inception","","Company founded","","","HBM leader and one of the most strategically important AI memory suppliers.","https://www.skhynix.com/"
"fueling AI","rare earth & supply chain","US","memory_supplier",1978,"Micron",1978,"entity_inception","","Company founded","","","Major memory supplier with growing importance in HBM and AI systems.","https://www.micron.com/"
"fueling AI","rare earth & supply chain","US","minerals",2017,"MP Materials",2017,"entity_inception","","Company founded","","","Operator of the main U.S. rare-earth mining and processing asset.","https://mpmaterials.com/"
"fueling AI","rare earth & supply chain","Australia","minerals",1983,"Lynas Rare Earths",1983,"entity_inception","","Company founded","","","The most prominent non-Chinese rare-earth producer relevant to supply diversification.","https://lynasrareearths.com/"
