branch,sub_branch,region,entity_category,year,entity,entity_inception_year,event_type,target,round_or_event,amount_usd,role,notes,source_url
"deploying AI","AI-native consumer apps","US","product_company",2022,"Perplexity",2022,"entity_inception","","Company founded","","","AI-native answer engine and consumer search product.","https://www.perplexity.ai/"
"deploying AI","AI-native consumer apps","US","product_company",2022,"Character.AI",2022,"entity_inception","","Company founded","","","Consumer conversational-character platform that made AI companions mainstream.","https://character.ai/"
"deploying AI","AI-native consumer apps","UK","product_company",2022,"ElevenLabs",2022,"entity_inception","","Company founded","","","Voice synthesis company that became a flagship consumer and creator AI product.","https://elevenlabs.io/"
"deploying AI","AI-native consumer apps","US","product_company",2021,"Midjourney",2021,"entity_inception","","Company founded","","","Image-generation product with unusually strong consumer and creative adoption.","https://www.midjourney.com/"
"deploying AI","coding tools","US","product",2021,"GitHub Copilot",2021,"entity_inception","","Product launched","","","The first mass-adopted AI coding assistant.","https://github.com/features/copilot"
"deploying AI","coding tools","US","product_company",2022,"Cursor",2022,"entity_inception","","Company founded","","","AI-first coding environment built around LLM-native software development.","https://www.cursor.com/"
"deploying AI","coding tools","US","product_company",2016,"Replit",2016,"entity_inception","","Company founded","","","Browser-native development platform that leaned heavily into AI coding workflows.","https://replit.com/"
"deploying AI","coding tools","US","product_company",2021,"Cognition",2021,"entity_inception","","Company founded","","","Maker of Devin and one of the leading AI software-engineering agents.","https://cognition.ai/"
"deploying AI","enterprise AI","US","product",2023,"Microsoft Copilot",2023,"entity_inception","","Product family launched","","","Flagship enterprise productivity AI layer for Microsoft software.","https://www.microsoft.com/en-us/microsoft-copilot"
"deploying AI","enterprise AI","US","product",2023,"Salesforce Einstein Copilot / Agentforce",2023,"entity_inception","","Product family launched","","","Salesforce's enterprise AI and agent stack.","https://www.salesforce.com/agentforce/"
"deploying AI","enterprise AI","US","product",2023,"ServiceNow Now Assist",2023,"entity_inception","","Product launched","","","Generative AI layer embedded into enterprise workflows on ServiceNow.","https://www.servicenow.com/products/now-assist.html"
"deploying AI","vertical SaaS","US","product_company",2022,"Harvey",2022,"entity_inception","","Company founded","","","AI-native legal software company.","https://www.harvey.ai/"
"deploying AI","vertical SaaS","US","product_company",2018,"Abridge",2018,"entity_inception","","Company founded","","","Medical AI documentation and ambient clinical intelligence company.","https://www.abridge.com/"
"deploying AI","vertical SaaS","US","product_company",2019,"Glean",2019,"entity_inception","","Company founded","","","Enterprise search and knowledge platform increasingly centered on AI retrieval and agents.","https://www.glean.com/"
"deploying AI","agent frameworks","US","framework",2024,"LangGraph",2024,"entity_inception","","Framework released","","","Graph-based orchestration framework for LLM agents and workflows.","https://www.langchain.com/langgraph"
"deploying AI","agent frameworks","US","framework",2023,"AutoGen",2023,"entity_inception","","Framework released","","","Microsoft Research's framework for multi-agent systems.","https://microsoft.github.io/autogen/"
"deploying AI","agent frameworks","US","framework",2023,"CrewAI",2023,"entity_inception","","Framework released","","","Popular framework for role-based autonomous agent workflows.","https://www.crewai.com/"
"deploying AI","agent frameworks","Germany","workflow_platform",2019,"n8n",2019,"entity_inception","","Company founded","","","Workflow automation platform increasingly used for agent pipelines and AI ops.","https://n8n.io/"
"deploying AI","API layer","US","api_platform",2021,"Replicate",2021,"entity_inception","","Company founded","","","API layer for running and serving open-source AI models.","https://replicate.com/"
"deploying AI","API layer","US","api_platform",2023,"Together AI",2023,"entity_inception","","Company founded","","","Inference and model platform for builders using open models.","https://www.together.ai/"
"deploying AI","API layer","US","api_platform",2022,"Fireworks AI",2022,"entity_inception","","Company founded","","","Inference platform focused on fast model serving and compound AI systems.","https://fireworks.ai/"
"deploying AI","API layer","US","api_platform",2023,"OpenRouter",2023,"entity_inception","","Platform launched","","","Routing and aggregation layer across multiple model providers.","https://openrouter.ai/"
"deploying AI","edge AI compute","US","device_stack",2017,"Apple Neural Engine",2017,"entity_inception","","Hardware stack launched","","","Apple's on-device neural-compute stack for local AI workloads.","https://www.apple.com/"
"deploying AI","edge AI compute","US","device_stack",2018,"Qualcomm AI Engine",2018,"entity_inception","","Platform launched","","","Qualcomm's on-device AI compute stack for phones, PCs, and edge devices.","https://www.qualcomm.com/products/mobile/snapdragon/ai"
"deploying AI","edge AI compute","South Korea","device_stack",2024,"Galaxy AI",2024,"entity_inception","","Product family launched","","","Samsung's on-device and hybrid AI consumer platform.","https://www.samsung.com/us/galaxy-ai/"
"deploying AI","edge AI compute","US","device_company",2023,"Rabbit r1",2023,"entity_inception","","Device launched","","","Consumer AI device emblematic of the edge-agent push.","https://www.rabbit.tech/"
"deploying AI","edge AI compute","Singapore","device_company",2024,"Frame",2024,"entity_inception","","Device launched","","","AI glasses platform pushing local and low-friction multimodal interfaces.","https://brilliant.xyz/"
