branch,sub_branch,region,year,firm,firm_inception_year,event_type,target,round_or_event,amount_usd,role,notes,source_url
"investing in AI","venture capital","Canada",2017,"Radical Ventures",2017,"firm_inception","","Firm founded","","","AI-specialist venture firm based in Toronto.","https://radical.vc/"
"investing in AI","venture capital","Canada",2023,"Radical Ventures",2017,"investment","Cohere","Funding round","270000000","participant","Radical backed Cohere during the enterprise LLM buildout.","https://cohere.com/blog/raising-270m-to-deploy-secure-ai"
"investing in AI","venture capital","Canada",2025,"Radical Ventures",2017,"investment","Cohere","Series E","500000000","co_lead","Radical co-led Cohere's $500M financing.","https://cohere.com/blog/series-e-funding"
"investing in AI","venture capital","China",2001,"Legend Capital",2001,"firm_inception","","Firm founded","","","Chinese venture and growth investor with broad deep-tech exposure.","https://www.legendcapital.com.cn/"
"investing in AI","venture capital","China",2005,"Hillhouse Investment",2005,"firm_inception","","Firm founded","","","Large China-based investment firm active in frontier technology.","https://www.hillhouseinvestment.com/"
"investing in AI","venture capital","China",2005,"HongShan",2005,"firm_inception","","Firm founded","","","Former Sequoia China business, now operating independently as HongShan.","https://www.hongshan.com/"
"investing in AI","venture capital","China",2006,"Qiming Venture Partners",2006,"firm_inception","","Firm founded","","","Major Chinese venture firm active in AI, healthcare, and enterprise tech.","https://www.qimingvc.com/"
"investing in AI","venture capital","China",2008,"5Y Capital",2008,"firm_inception","","Firm founded","","","Chinese venture firm formerly known as Morningside Venture Capital.","https://www.5ycap.com/en/"
"investing in AI","venture capital","China",2008,"Matrix Partners China",2008,"firm_inception","","Firm founded","","","China-focused venture franchise with strong early-stage technology exposure.","https://www.matrixpartners.com.cn/"
"investing in AI","venture capital","China",2009,"Sinovation Ventures",2009,"firm_inception","","Firm founded","","","Kai-Fu Lee's venture firm with a long-running AI focus.","https://www.sinovationventures.com/"
"investing in AI","venture capital","China",2011,"Shunwei Capital",2011,"firm_inception","","Firm founded","","","Xiaomi-linked venture firm active across consumer and frontier technology.","https://www.shunwei.com/en/"
"investing in AI","venture capital","China",2014,"Source Code Capital",2014,"firm_inception","","Firm founded","","","Chinese venture firm active in software, infrastructure, and AI.","https://sourcecodecap.com/"
"investing in AI","venture capital","China",2015,"5Y Capital",2008,"investment","Horizon Robotics","Seed","","early_backer","5Y has backed Horizon Robotics since seed stage.","https://www.5ycap.com/en/portfolio/horizon-robotics/"
"investing in AI","venture capital","China",2022,"Qiming Venture Partners",2006,"investment","Zhipu AI","Series B1","","co_lead","Qiming co-led Zhipu's Series B1 financing.","https://www.qimingvc.com/english/portfolio/ai-powered-digital-pathology-company-digital-medpath-and-ai-company-zhipu-ai-complete-new-financing/"
"investing in AI","venture capital","China",2023,"Sinovation Ventures",2009,"investment","01.AI","Series A","200000000","participant","Sinovation lists 01.AI among its AI Institute venture-building companies; the company launched with a $200M round.","https://www.sinovationventures.com/ai"
"investing in AI","venture capital","China",2023,"HongShan",2005,"investment","Zhipu AI","Funding round","","participant","HongShan was reported among Zhipu's notable backers as Chinese foundation-model funding accelerated.","https://techcrunch.com/2023/10/20/chinese-ai-firm-zhipu-ai-secures-funds-and-climbs-above-1-billion-valuation/"
"investing in AI","venture capital","China",2024,"HongShan",2005,"investment","Moonshot AI","Series B","1000000000","co_lead","HongShan co-led Moonshot AI's $1B financing.","https://www.ft.com/content/f4141dd5-ae6d-4d37-b7d2-db7e2d84104f"
"investing in AI","venture capital","China",2024,"Hillhouse Investment",2005,"investment","MiniMax","Funding round","600000000","participant","Hillhouse participated in MiniMax's large 2024 financing.","https://www.ft.com/content/bd61581f-b4cb-4f71-9825-f369501b7848"
"investing in AI","venture capital","China",2024,"HongShan",2005,"investment","MiniMax","Funding round","600000000","participant","HongShan was reported among the investors in MiniMax's 2024 round.","https://www.ft.com/content/bd61581f-b4cb-4f71-9825-f369501b7848"
"investing in AI","venture capital","China",2024,"Qiming Venture Partners",2006,"investment","Zhipu AI","Funding round","412000000","participant","Qiming participated in Zhipu's roughly RMB3B financing.","https://www.scmp.com/tech/tech-trends/article/3252838/chinese-ai-unicorn-zhipu-raises-over-us400-million-fresh-funding-amid-beijings-push-rival-us"
"investing in AI","venture capital","China",2024,"Legend Capital",2001,"investment","Zhipu AI","Funding round","412000000","participant","Legend Capital was reported among the investors in Zhipu's 2024 financing.","https://www.scmp.com/tech/tech-trends/article/3252838/chinese-ai-unicorn-zhipu-raises-over-us400-million-fresh-funding-amid-beijings-push-rival-us"
"investing in AI","venture capital","Europe",1996,"Index Ventures",1996,"firm_inception","","Firm founded","","","Transatlantic venture firm with a large European base and strong AI activity.","https://www.indexventures.com/"
"investing in AI","venture capital","Europe",2000,"Balderton Capital",2000,"firm_inception","","Firm founded","","","Major European venture firm active in software and autonomy.","https://www.balderton.com/"
"investing in AI","venture capital","Europe",2006,"Atomico",2006,"firm_inception","","Firm founded","","","European venture firm active in AI-native software and infrastructure.","https://atomico.com/"
"investing in AI","venture capital","Europe",2015,"EQT Ventures",2015,"firm_inception","","Firm founded","","","European venture firm increasingly active in agentic AI and enterprise AI.","https://eqtventures.com/"
"investing in AI","venture capital","Europe",2019,"Index Ventures",1996,"investment","Scale AI","Series C","100000000","participant","Index backed Scale AI during the build-out of data-labeling infrastructure for AI systems.","https://techcrunch.com/2019/07/24/scale-ai-raises-100m-series-c-led-by-founders-fund/"
"investing in AI","venture capital","Europe",2023,"Index Ventures",1996,"investment","Cohere","Funding round","270000000","participant","Index participated in Cohere's $270M financing round.","https://cohere.com/blog/raising-270m-to-deploy-secure-ai"
"investing in AI","venture capital","Europe",2024,"Index Ventures",1996,"investment","DeepL","Funding round","300000000","participant","Index participated in DeepL's 2024 financing round.","https://www.deepl.com/en/blog/deepl-series-c-funding"
"investing in AI","venture capital","Europe",2024,"Atomico",2006,"investment","DeepL","Funding round","300000000","participant","Atomico joined DeepL's 2024 financing round.","https://www.deepl.com/en/blog/deepl-series-c-funding"
"investing in AI","venture capital","Europe",2024,"Balderton Capital",2000,"investment","Wayve","Funding round","1050000000","participant","Balderton participated in Wayve's SoftBank-led mega-round.","https://wayve.ai/thinking/1-05bn-led-by-softbank/"
"investing in AI","venture capital","Europe",2025,"EQT Ventures",2015,"investment","Parloa","Series C","120000000","participant","EQT Ventures doubled down in Parloa's 2025 round as voice-agent infrastructure accelerated.","https://stories.eqtventures.com/articles/investor-perspective-parloa-reaches-unicorn-status-with-120m-series-c"
"investing in AI","venture capital","India/SEA",2006,"Peak XV Partners",2006,"firm_inception","","Firm founded","","","Built from Sequoia's India and Southeast Asia business; major regional AI investor.","https://www.peakxv.com/"
"investing in AI","venture capital","India/SEA",2023,"Peak XV Partners",2006,"investment","Sarvam AI","Series A","41000000","co_lead","Peak XV co-led Sarvam AI's $41M Series A.","https://economictimes.indiatimes.com/tech/funding/ai-startup-sarvam-raises-41-million-from-lightspeed-peak-xv-khosla/articleshow/105065658.cms"
"investing in AI","venture capital","Japan",2017,"SoftBank Vision Fund",2017,"firm_inception","","Fund launched","","","Massive technology investment vehicle shaping late-stage AI financing.","https://group.softbank/en/vision-fund"
"investing in AI","venture capital","Japan",2024,"SoftBank Vision Fund",2017,"investment","Wayve","Funding round","1050000000","lead","SoftBank led Wayve's $1.05B financing.","https://wayve.ai/thinking/1-05bn-led-by-softbank/"
"investing in AI","venture capital","Japan",2025,"SoftBank Vision Fund",2017,"investment","OpenAI","Funding round","40000000000","lead","SoftBank led OpenAI's $40B financing round.","https://openai.com/index/openai-raises-40-billion/"
"investing in AI","venture capital","US",1911,"Bessemer Venture Partners",1911,"firm_inception","","Firm founded","","","Long-running venture firm still active in AI infrastructure and applications.","https://www.bvp.com/"
"investing in AI","venture capital","US",1965,"Greylock",1965,"firm_inception","","Firm founded","","","Silicon Valley firm with meaningful applied-AI exposure.","https://greylock.com/"
