branch,sub_branch,region,entity_category,year,entity,entity_inception_year,event_type,target,round_or_event,amount_usd,role,notes,source_url
"investing in AI","corporate bets","US","company",1911,"IBM",1911,"entity_inception","","Company founded","","","Longtime computing company now repositioning around enterprise AI and model tooling.","https://www.ibm.com/"
"investing in AI","corporate bets","US","company",1975,"Microsoft",1975,"entity_inception","","Company founded","","","Most consequential corporate AI capital allocator of the current cycle.","https://www.microsoft.com/"
"investing in AI","corporate bets","US","company",1976,"Apple",1976,"entity_inception","","Company founded","","","Consumer platform company making late but consequential strategic AI integrations.","https://www.apple.com/"
"investing in AI","corporate bets","US","company",1977,"Oracle",1977,"entity_inception","","Company founded","","","Infrastructure and database giant repositioning around AI cloud and data center capacity.","https://www.oracle.com/"
"investing in AI","corporate bets","US","company",1993,"NVIDIA",1993,"entity_inception","","Company founded","","","Chipmaker whose balance sheet and ecosystem now function as strategic AI capital.","https://www.nvidia.com/"
"investing in AI","corporate bets","US","company",1994,"Amazon",1994,"entity_inception","","Company founded","","","Uses AWS, chips, and direct startup investment as AI strategic leverage.","https://www.amazon.com/"
"investing in AI","corporate bets","US","company",1998,"Google",1998,"entity_inception","","Company founded","","","Deploys AI capital through cloud partnerships, startup stakes, and internal model spending.","https://about.google/"
"investing in AI","corporate bets","US","company",1999,"Salesforce",1999,"entity_inception","","Company founded","","","Enterprise software company using venture and product partnerships to shape applied AI.","https://www.salesforce.com/"
"investing in AI","corporate bets","US","company",2004,"Meta",2004,"entity_inception","","Company founded","","","Consumer internet giant now making unusually large external AI investments.","https://about.meta.com/"
"investing in AI","corporate bets","Japan","company",1981,"SoftBank Group",1981,"entity_inception","","Company founded","","","Conglomerate and capital allocator making some of the largest AI bets globally.","https://group.softbank/en/"
"investing in AI","corporate bets","China","company",1998,"Tencent",1998,"entity_inception","","Company founded","","","Chinese internet platform using corporate investment to shape domestic AI competition.","https://www.tencent.com/"
"investing in AI","corporate bets","China","company",1999,"Alibaba",1999,"entity_inception","","Company founded","","","Cloud and platform company funding domestic model and infrastructure bets.","https://www.alibabagroup.com/"
"investing in AI","corporate bets","China","company",2000,"Baidu",2000,"entity_inception","","Company founded","","","Chinese search and AI platform company with large internal and strategic AI commitments.","https://ir.baidu.com/"
"investing in AI","corporate bets","South Korea","company",1969,"Samsung Electronics",1969,"entity_inception","","Company founded","","","Electronics and semiconductor giant expanding AI chips and on-device AI stack.","https://www.samsung.com/"
"investing in AI","corporate bets","Germany","company",1972,"SAP",1972,"entity_inception","","Company founded","","","Enterprise software company embedding AI across core business workflows and partnerships.","https://www.sap.com/"
"investing in AI","corporate bets","US","company",2019,"Microsoft",1975,"strategic_investment","OpenAI","Initial investment","1000000000","lead","Microsoft invested $1B in OpenAI and formed a multiyear strategic partnership.","https://techcrunch.com/2019/07/22/microsoft-invests-1-billion-in-openai-in-new-multiyear-partnership/"
