branch,sub_branch,region,entity_category,year,entity,entity_inception_year,event_type,target,round_or_event,amount_usd,role,notes,source_url
"investing in AI","government funding","US","agency",1958,"DARPA",1958,"entity_inception","","Agency founded","","","Foundational U.S. high-risk R&D agency whose model shaped later frontier-tech funding approaches.","https://www.darpa.mil/about-us/timeline"
"investing in AI","government funding","US","agency",1950,"National Science Foundation",1950,"entity_inception","","Agency founded","","","Primary U.S. civil science funder behind AI institutes, research, and workforce programs.","https://www.nsf.gov/"
"investing in AI","government funding","US","program",2020,"NSF National AI Research Institutes",2020,"entity_inception","","Program launched","","","Flagship U.S. AI research funding network spanning institutes nationwide.","https://www.nsf.gov/focus-areas/ai/institutes"
"investing in AI","government funding","US","program",2023,"National AI Research Institutes",2020,"funding_round","Seven new institutes","Award cohort","140000000","funder","NSF announced $140M to establish seven new National AI Research Institutes.","https://www.nsf.gov/news/nsf-announces-seven-new-national-artificial"
"investing in AI","government funding","US","program",2025,"National AI Research Institutes",2020,"funding_round","Five institutes and hub","Award cohort","100000000","funder","NSF announced another $100M for five AI institutes and a central hub.","https://www.nsf.gov/news/nsf-announces-100-million-investment-national-artificial"
"investing in AI","government funding","Canada","program",2024,"Canadian Sovereign AI Compute Strategy",2024,"entity_inception","","Strategy announced","2000000000","funder","Canada allocated $2B to sovereign AI compute strategy.","https://www.canada.ca/en/innovation-science-economic-development/news/2025/03/government-of-canada-introduces-ai-compute-access-fund-to-support-canadian-innovators.html"
"investing in AI","government funding","Canada","program",2025,"AI Compute Access Fund",2025,"entity_inception","","Fund launched","300000000","funder","Canada launched a $300M AI Compute Access Fund for SMEs as part of the broader compute strategy.","https://www.canada.ca/en/innovation-science-economic-development/news/2025/03/government-of-canada-introduces-ai-compute-access-fund-to-support-canadian-innovators.html"
"investing in AI","government funding","EU","program",2025,"InvestAI",2025,"entity_inception","","Initiative launched","200000000000","funder","EU launched InvestAI to mobilize EUR200B for AI including a EUR20B gigafactory fund.","https://digital-strategy.ec.europa.eu/en/news/eu-launches-investai-initiative-mobilise-eu200-billion-investment-artificial-intelligence"
"investing in AI","government funding","India","program",2024,"IndiaAI Mission",2024,"entity_inception","","Mission approved","1240000000","funder","India approved the IndiaAI Mission with roughly $1.24B and plans for national AI compute capacity.","https://www.datacenterdynamics.com/en/news/indian-government-launches-12bn-indiaai-mission-plans-10000-gpu-supercomputer/"
"investing in AI","government funding","India","program",2024,"IndiaAI Compute Capacity",2024,"funding_round","10,000 GPUs","Tender initiative","","funder","A core IndiaAI Mission component centered on GPU access and domestic compute availability.","https://indianexpress.com/article/business/centre-finalises-tender-to-procure-1000-gpus-under-indiaai-mission-9518394/"
"investing in AI","government funding","Japan","program",2024,"GENIAC",2024,"entity_inception","","Project launched","","funder","METI and NEDO launched GENIAC to support Japanese generative AI model development and compute access.","https://www.meti.go.jp/english/press/2024/0202_001.html"
"investing in AI","government funding","UK","program",2025,"AI Research Resource (AIRR)",2025,"entity_inception","","National resource launched","1000000000","funder","UK committed GBP1B to expand sovereign compute capacity through AIRR and related systems.","https://www.gov.uk/government/publications/airr-compute-opportunity-ai-for-science/airr-compute-opportunity-ai-for-science"
"investing in AI","government funding","Singapore","program",2026,"National AI Impact Programme",2026,"entity_inception","","Programme launched","","funder","Singapore launched NAIIP to support 10,000 enterprises over three years under National AI Strategy 2.0.","https://www.imda.gov.sg/resources/press-releases-factsheets-and-speeches/factsheets/2026/national-ai-impact-programme"
"investing in AI","government funding","Saudi Arabia","program",2025,"HUMAIN",2025,"state_backed_launch","","National AI company launched","","funder","PIF launched HUMAIN as a state-backed AI operating and investment vehicle across the full stack.","https://www.pif.gov.sa/en/news-and-insights/press-releases/2025/hrh-crown-prince-launches-humain-as-global-ai-powerhouse/?_bhlid=8975d7e9f7d2b5c40c2133b351af7c584a4b6148"
