branch,sub_branch,region,entity_category,year,entity,entity_inception_year,event_type,target,round_or_event,amount_usd,role,notes,source_url
"investing in AI","startup ecosystem","US","accelerator",2005,"Y Combinator",2005,"entity_inception","","Accelerator founded","","","The central seed-stage institution of the current AI startup cycle.","https://www.ycombinator.com/"
"investing in AI","startup ecosystem","US","accelerator",2006,"Techstars",2006,"entity_inception","","Accelerator founded","","","Global accelerator platform with AI-specific and AI-adjacent programs.","https://www.techstars.com/"
"investing in AI","startup ecosystem","UK","accelerator",2011,"Entrepreneur First",2011,"entity_inception","","Talent investor founded","","","Talent-first company creation platform with deep European technical founder pipeline.","https://www.joinef.com/"
"investing in AI","startup ecosystem","US","program",2017,"NVIDIA Inception",2017,"entity_inception","","Startup program launched","","","Global startup program giving AI founders hardware, tools, pricing, and investor access.","https://www.nvidia.com/en-us/startups/"
"investing in AI","startup ecosystem","US","program",2017,"AI Grant",2017,"entity_inception","","Program launched","","","Early AI-focused founder grant and startup support program.","https://aigrant.com/"
"investing in AI","startup ecosystem","Singapore","accelerator",2018,"Antler",2018,"entity_inception","","Company builder founded","","","Global day-zero investor that became one of the most active AI seed backers.","https://www.antler.co/"
"investing in AI","startup ecosystem","US","accelerator",2021,"HF0",2021,"entity_inception","","Residency founded","","","Founder residency that became influential in frontier technical startup circles.","https://www.hf0.com/"
"investing in AI","startup ecosystem","US","program",2024,"Y Combinator Winter 2024 AI cohort",2024,"cohort_milestone","YC W24","Demo Day cohort","","cohort","YC's official directory showed 86 AI startups in the Winter 2024 batch.","https://techcrunch.com/2024/04/03/y-combinator-winter-2024-demo-day-ai-startups-standouts/"
"investing in AI","startup ecosystem","US","program",2025,"Y Combinator Winter 2025 cohort",2025,"cohort_milestone","YC W25","Demo Day cohort","","cohort","Winter 2025 showcased over 160 startups with AI agents and support tooling heavily represented.","https://techcrunch.com/2025/03/13/10-startups-to-watch-from-y-combinators-w25-demo-day/"
"investing in AI","startup ecosystem","US","program",2025,"Y Combinator Spring 2025 batch",2025,"program_launch","YC X25","First spring batch","","operator","YC formally expanded to four batches per year amid accelerating AI-driven startup formation.","https://www.ycombinator.com/blog/announcing-yc-x25"
"investing in AI","startup ecosystem","US","program",2025,"Y Combinator Spring 2025 AI cohort",2025,"cohort_milestone","YC X25","Demo Day cohort","","cohort","Spring 2025 featured about 70 startups focused on agentic AI.","https://www.businessinsider.com/y-combinator-yc-demo-day-spring-ai-agent-startups-2025-6"
"investing in AI","startup ecosystem","US","program",2025,"Y Combinator Summer 2025 cohort",2025,"cohort_milestone","YC S25","Demo Day cohort","","cohort","Summer 2025 showcased over 160 startups, with the majority AI-centric and increasingly agent-focused.","https://techcrunch.com/2025/09/15/the-9-most-sought-after-startups-from-yc-demo-day/"
"investing in AI","startup ecosystem","US","program",2026,"Y Combinator Demo Day",2005,"event_cycle","W26","Investor event","","operator","YC demo day remains one of the main liquidity and price-discovery rituals for seed-stage AI founders.","https://www.ycombinator.com/demoday/"
"investing in AI","startup ecosystem","US","program",2025,"NVIDIA Inception",2017,"ecosystem_scale","Startup support","Open enrollment","","operator","NVIDIA describes Inception as open to startups at any funding stage with no cohort deadlines or fees.","https://www.nvidia.com/en-us/startups/faq/"
"investing in AI","startup ecosystem","US","accelerator",2025,"Techstars AI Health",2006,"program_activity","Baltimore accelerator","AI vertical program","","operator","Techstars' accelerator roster includes explicitly AI-branded vertical programs such as AI Health.","https://www.techstars.com/accelerators"
"investing in AI","startup ecosystem","Singapore","accelerator",2025,"Antler",2018,"ecosystem_scale","Global AI seed activity","Investment pace","","investor","WSJ reported Antler was recognized by Dealroom as the most active global AI investor in 2024.","https://www.wsj.com/articles/venture-firm-antler-made-over-400-investments-last-yearand-just-reloaded-with-160-million-25ed800b"
