branch,sub_branch,region,entity_category,year,entity,entity_inception_year,event_type,target,round_or_event,amount_usd,role,notes,source_url
"fueling AI","real estate","US","data_center_operator",1998,"Equinix",1998,"entity_inception","","Company founded","","","Global colocation and interconnection giant expanding AI-ready capacity.","https://www.equinix.com/"
"fueling AI","real estate","US","data_center_operator",2004,"Digital Realty",2004,"entity_inception","","Company founded","","","One of the world's largest hyperscale and colocation landlords.","https://www.digitalrealty.com/"
"fueling AI","real estate","US","data_center_operator",2003,"QTS",2003,"entity_inception","","Company founded","","","Hyperscale data-center operator with major AI-era expansion exposure.","https://www.qtsdatacenters.com/"
"fueling AI","real estate","US","data_center_operator",2010,"Vantage Data Centers",2010,"entity_inception","","Company founded","","","Large hyperscale campus developer serving cloud and AI workloads.","https://vantage-dc.com/"
"fueling AI","real estate","US","data_center_operator",2010,"CyrusOne",2010,"entity_inception","","Company founded","","","Major hyperscale developer and operator with global AI infrastructure relevance.","https://cyrusone.com/"
"fueling AI","real estate","US","data_center_operator",2013,"Aligned Data Centers",2013,"entity_inception","","Company founded","","","Operator known for high-density and adaptable cooling/power designs relevant to AI.","https://aligneddc.com/"
"fueling AI","real estate","US","data_center_operator",2009,"EdgeConneX",2009,"entity_inception","","Company founded","","","Data-center developer active in hyperscale and edge AI infrastructure.","https://www.edgeconnex.com/"
"fueling AI","real estate","US","data_center_operator",2005,"DataBank",2005,"entity_inception","","Company founded","","","Private data-center platform expanding heavily in the AI buildout cycle.","https://www.databank.com/"
"fueling AI","real estate","US","data_center_operator",1951,"Iron Mountain Data Centers",1951,"entity_inception","","Company founded","","","Operator benefiting from AI-driven demand for large-scale colocation and data-center campuses.","https://www.ironmountain.com/data-centers"
"fueling AI","real estate","US","capital_owner",1985,"Blackstone",1985,"entity_inception","","Company founded","","","Major owner and financier of AI-era data-center real estate through QTS and other vehicles.","https://www.blackstone.com/"
"fueling AI","real estate","Australia","developer",1989,"Goodman Group",1989,"entity_inception","","Company founded","","","Industrial property and infrastructure developer with growing data-center and land exposure.","https://www.goodman.com/"
"fueling AI","real estate","US","data_center_operator",2000,"Switch",2000,"entity_inception","","Company founded","","","Large campus-style data-center operator associated with hyperscale infrastructure expansion.","https://www.switch.com/"
