branch,sub_branch,region,entity_category,year,entity,entity_inception_year,event_type,target,round_or_event,amount_usd,role,notes,source_url
"second order AI impact","psychology","Global","concept",1960,"Cognitive offloading",1960,"entity_inception","","Concept node","","","The shift of memory, synthesis, and judgment tasks from people to AI systems.",""
"second order AI impact","psychology","Global","concept",1960,"AI dependency",1960,"entity_inception","","Concept node","","","The risk that heavy reliance on AI changes attention, confidence, and agency.",""
"second order AI impact","identity","Global","concept",1960,"Human uniqueness debate",1960,"entity_inception","","Concept node","","","Questions about what remains distinctively human as AI performs more cognitive work.",""
"second order AI impact","identity","Global","concept",1960,"Machine creativity debate",1960,"entity_inception","","Concept node","","","Debates over authorship, originality, and whether AI-generated work counts as creative.",""
"second order AI impact","relationships","US","application",2022,"Character.AI",2022,"entity_inception","","Company founded","","","A central example of AI-mediated relationships and parasocial attachment.","https://character.ai/"
"second order AI impact","relationships","US","application",2017,"Replika",2017,"entity_inception","","Company founded","","","AI companion product often cited in conversations about loneliness and attachment.","https://replika.com/"
"second order AI impact","work & meaning","Global","concept",1960,"Job displacement anxiety",1960,"entity_inception","","Concept node","","","The fear and anticipation around AI reducing the need for human labor.",""
"second order AI impact","work & meaning","Global","concept",1960,"Post-work discourse",1960,"entity_inception","","Concept node","","","Debates over what gives life meaning if AI handles more productive work.",""
"second order AI impact","culture","Global","concept",1960,"Authenticity crisis",1960,"entity_inception","","Concept node","","","The weakening of trust in what is human-made, original, or sincere.",""
"second order AI impact","culture","US","institution",1995,"Getty Images",1995,"entity_inception","","Company founded","","","Copyright and training-data conflict that became symbolic of cultural disruption from generative AI.","https://www.gettyimages.com/"
"second order AI impact","education & childhood","US","application",2023,"Khanmigo",2023,"entity_inception","","Product launched","","","High-profile AI tutor product shaping how children may learn with AI assistance.","https://www.khanacademy.org/khan-labs"
"second order AI impact","education & childhood","Global","concept",1960,"AI tutor childhood",1960,"entity_inception","","Concept node","","","The broader phenomenon of children growing up with always-on algorithmic tutors.",""
"second order AI impact","inequality","Global","concept",1960,"AI skills divide",1960,"entity_inception","","Concept node","","","Unequal advantage between people and organizations that can effectively use AI and those that cannot.",""
"second order AI impact","inequality","Global","concept",1960,"Compute divide",1960,"entity_inception","","Concept node","","","Concentration of compute and model access in a small set of firms and states.",""
"second order AI impact","political","Global","concept",1960,"Deepfakes",1960,"entity_inception","","Concept node","","","Synthetic media eroding trust in evidence and public communication.",""
"second order AI impact","political","Global","concept",1960,"AI information warfare",1960,"entity_inception","","Concept node","","","AI-enabled propaganda, targeting, persuasion, and institutional destabilization.",""
"second order AI impact","spiritual","Europe","institution",1960,"Vatican",1960,"entity_inception","","Institution node","","","Religious institution engaging questions of dignity, ethics, and what AI means for human personhood.","https://www.vatican.va/"
"second order AI impact","spiritual","Global","concept",1960,"AI consciousness discourse",1960,"entity_inception","","Concept node","","","Debates about whether advanced systems are tools, agents, or something more.",""
