branch,sub_branch,region,entity_category,year,entity,entity_inception_year,event_type,target,round_or_event,amount_usd,role,notes,source_url
"fueling AI","RLHF workforce","Kenya","labor_platform",2008,"Sama",2008,"entity_inception","","Company founded","","","One of the most cited firms in reporting on outsourced AI labor and moderation work.","https://www.sama.com/"
"fueling AI","RLHF workforce","India","labor_platform",2018,"iMerit",2018,"entity_inception","","Company founded","","","Major provider of human-in-the-loop AI services with strong India footprint.","https://imerit.net/"
"fueling AI","RLHF workforce","Philippines","labor_platform",2008,"TaskUs",2008,"entity_inception","","Company founded","","","BPO company with major operations in the Philippines and growing AI services exposure.","https://www.taskus.com/"
"fueling AI","RLHF workforce","US","labor_platform",2025,"Outlier",2025,"entity_inception","","Platform active","","","High-visibility platform for distributed AI trainers, evaluators, and annotators.","https://outlier.ai/"
"fueling AI","RLHF workforce","US","labor_platform",2015,"Invisible Technologies",2015,"entity_inception","","Company founded","","","Operations company expanding into human-in-the-loop AI and evaluation work.","https://www.invisible.co/"
"fueling AI","RLHF workforce","US","labor_platform",2021,"DataAnnotation",2021,"entity_inception","","Platform active","","","Online work platform associated with AI training and evaluation tasks.","https://www.dataannotation.tech/"
"fueling AI","RLHF workforce","US","labor_platform",2018,"Turing",2018,"entity_inception","","Company founded","","","Developer-talent platform increasingly used for AI training, coding evals, and human feedback.","https://www.turing.com/"
"fueling AI","RLHF workforce","UK","labor_platform",2010,"CloudFactory",2010,"entity_inception","","Company founded","","","Distributed workforce platform relevant to annotation and human-in-the-loop AI tasks.","https://www.cloudfactory.com/"
"fueling AI","RLHF workforce","US","labor_platform",2017,"Remotasks",2017,"entity_inception","","Platform launched","","","Task platform closely tied to distributed labeling and feedback work for AI systems.","https://www.remotasks.com/"
"fueling AI","RLHF workforce","Netherlands","labor_platform",2017,"Toloka",2017,"entity_inception","","Platform launched","","","Crowd platform used for model evaluation, data generation, and human feedback tasks.","https://toloka.ai/"
